energy_low_mev,energy_high_mev,count
0.00000000,0.00265595,1983
0.00265595,0.00531189,1934
0.00531189,0.00796784,2032
0.00796784,0.01062378,2057
0.01062378,0.01327973,2043
0.01327973,0.01593567,2055
0.01593567,0.01859162,2046
0.01859162,0.02124756,2030
0.02124756,0.02390351,1965
0.02390351,0.02655945,2011
0.02655945,0.02921540,1966
0.02921540,0.03187134,1956
0.03187134,0.03452729,1953
0.03452729,0.03718323,1989
0.03718323,0.03983918,1962
0.03983918,0.04249512,1990
0.04249512,0.04515107,2038
0.04515107,0.04780701,1918
0.04780701,0.05046296,1996
0.05046296,0.05311890,2039
0.05311890,0.05577485,1999
0.05577485,0.05843079,2025
0.05843079,0.06108674,1993
0.06108674,0.06374268,2001
0.06374268,0.06639863,1953
0.06639863,0.06905457,2016
0.06905457,0.07171052,1966
0.07171052,0.07436646,1977
0.07436646,0.07702241,1990
0.07702241,0.07967835,1987
0.07967835,0.08233430,2004
0.08233430,0.08499024,2001
0.08499024,0.08764619,2064
0.08764619,0.09030213,1977
0.09030213,0.09295808,2096
0.09295808,0.09561402,1924
0.09561402,0.09826997,1963
0.09826997,0.10092591,2068
0.10092591,0.10358186,1995
0.10358186,0.10623780,2035
0.10623780,0.10889375,2034
0.10889375,0.11154969,2014
0.11154969,0.11420564,1977
0.11420564,0.11686158,1977
0.11686158,0.11951753,1925
0.11951753,0.12217347,1999
0.12217347,0.12482942,2000
0.12482942,0.12748536,2028
0.12748536,0.13014131,2032
0.13014131,0.13279725,2017
